Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Brebes,0,0,0,129,7,28-03-2020
Cilacap,1,0,0,91,8,28-03-2020
Kota Tegal,1,0,0,28,14,28-03-2020
Kabupaten Tegal,0,0,0,135,11,28-03-2020
Banyumas,4,0,0,154,16,28-03-2020
Pemalang,0,0,0,14,2,28-03-2020
Purbalingga,3,0,0,77,9,28-03-2020
Kota Pekalongan,1,0,0,31,1,28-03-2020
Kabupaten Pekalongan,0,0,0,14,4,28-03-2020
Banjarnegara,0,0,0,117,1,28-03-2020
Kebumen,0,0,0,435,8,28-03-2020
Batang,0,0,0,12,3,28-03-2020
Wonosobo,1,0,0,554,2,28-03-2020
Purworejo,0,0,0,136,11,28-03-2020
Kendal,0,0,0,20,7,28-03-2020
Temanggung,0,0,0,69,9,28-03-2020
Kota Megelang,3,0,1,47,16,28-03-2020
Kabupaten Magelang,0,0,0,148,2,28-03-2020
Kota Semarang,17,0,1,847,81,28-03-2020
Kabupaten Semarang,0,0,0,8,2,28-03-2020
Kota Salatiga,0,0,0,72,12,28-03-2020
Klaten,0,0,0,52,3,28-03-2020
Boyolali,0,0,0,13,0,28-03-2020
Wonogiri,1,0,0,27,7,28-03-2020
Sukoharjo,0,0,0,96,5,28-03-2020
Karanganyar,0,0,0,32,2,28-03-2020
Surakarta,8,0,4,69,22,28-03-2020
Sragen,0,0,0,7,2,28-03-2020
Grobogan,0,0,0,13,1,28-03-2020
Demak,0,0,0,19,3,28-03-2020
Jepara,0,0,0,19,0,28-03-2020
Kudus,0,0,0,48,15,28-03-2020
Pati,0,0,0,19,3,28-03-2020
Rembang,0,0,0,26,2,28-03-2020
Blora,0,0,0,60,3,28-03-2020
