Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Kabupaten Blitar,1,0,0,264,2,29-03-2020
Kabupaten Tulungagung,0,0,0,454,26,29-03-2020
Kabupaten Trenggalek,0,0,0,264,2,29-03-2020
Kabupaten Bojonegoro,0,0,0,57,1,29-03-2020
Kabupaten Situbondo,2,0,0,117,3,29-03-2020
Kota Batu,1,0,0,68,0,29-03-2020
Kota Surabaya,40,0,0,195,50,29-03-2020
Kota Blitar,0,0,0,96,2,29-03-2020
Kota Probolinggo,0,0,0,36,1,29-03-2020
Kabupaten Nganjuk,0,0,0,19,8,29-03-2020
Kota Kediri,1,0,0,46,1,29-03-2020
Kabupaten Lumajang,1,0,0,83,8,29-03-2020
Kabupaten Banyuwangi,0,0,0,179,1,29-03-2020
Kabupaten Jember,1,0,0,168,10,29-03-2020
Kota Malang,3,0,0,156,13,29-03-2020
Kabupaten Ponorogo,0,0,0,153,3,29-03-2020
Kabupaten Pacitan,0,0,0,209,1,29-03-2020
Kabupaten Pamekasan,0,0,0,101,1,29-03-2020
Kabupaten Madiun,0,0,0,65,4,29-03-2020
Kota Pasuruan,0,0,0,6,12,29-03-2020
Kota Mojokerto,0,0,0,121,10,29-03-2020
Kabupaten Bondowoso,0,0,0,242,1,29-03-2020
Kabupaten Sumenep,0,0,0,37,0,29-03-2020
Kabupaten Ngawi,0,0,0,88,5,29-03-2020
Kabupaten Pasuruan,0,0,0,25,13,29-03-2020
Kabupaten Gresik,2,0,0,132,24,29-03-2020
Kabupaten Jombang,0,0,0,124,4,29-03-2020
Kabupaten Sampang,0,0,0,81,0,29-03-2020
Kabupaten Kediri,2,0,0,94,4,29-03-2020
Kabupaten Sidoarjo,9,0,0,93,48,29-03-2020
Kabupaten Tuban,0,0,0,166,3,29-03-2020
Kabupaten Mojokerto,0,0,0,137,16,29-03-2020
Kota Madiun,0,0,0,13,8,29-03-2020
Kabupaten Malang,5,0,0,61,17,29-03-2020
Kabupaten Magetan,9,0,0,39,8,29-03-2020
Kabupaten Bangkalan,0,0,0,133,1,29-03-2020
Kabupaten Probolinggo,0,0,0,108,4,29-03-2020
Kabupaten Lamongan,0,0,0,94,9,29-03-2020
