Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Kota Makasar,22,0,0,66,44,29-03-20
Kabupaten Luwu Timur,0,0,0,68,4,29-03-20
Kabupaten Bulukumba,1,0,0,40,1,29-03-20
Kabupaten Luwu Timur,0,0,0,34,1,29-03-20
Kabupaten Sinjai,0,0,0,30,1,29-03-20
Kabupaten Sidenreng Rappang,2,0,0,23,5,29-03-20
Kabupaten Wajo,0,0,0,23,0,29-03-20
Kabupaten Jeneponto,0,0,0,19,4,29-03-20
Kabupaten Gowa,5,0,0,7,7,29-03-20
Kota Palopo,0,0,0,17,0,29-03-20
Kabupaten Maros,2,0,0,10,3,29-03-20
Kabupaten Toraja Utara,0,0,0,12,0,29-03-20
Kabupaten Pinrang,1,0,0,11,0,29-03-20
Kabupaten Enrekang,0,0,0,10,0,29-03-20
Kabupaten Pangkajene Dan Kepulauan,0,0,0,7,2,29-03-20
Kota Parepare,0,0,0,5,1,29-03-20
Kabupaten Talakar,0,0,0,5,1,29-03-20
Kabupaten Luwu Utara,0,0,0,4,2,29-03-20
Kabupaten Bantaeng,0,0,0,1,1,29-03-20
Kabupaten Bone,0,0,0,0,2,29-03-20
Kabupaten Kepulauan Selayar,0,0,0,1,0,29-03-20
Kabupaten Barru,0,0,0,0,1,29-03-20
Kabupaten Tana Toraja,0,0,0,1,0,29-03-20
Kabupaten Soppeng,0,0,0,1,0,29-03-20
