Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Kabupaten Bandung,5,0,2,0,0,30-03-20
Kabupaten Bandung Barat,3,0,2,0,0,30-03-20
Kabupaten Bekasi,18,1,3,0,0,30-03-20
Kabupaten Bogor,7,0,0,0,0,30-03-20
Kabupaten Ciamis,0,0,0,0,0,30-03-20
Kabupaten Cianjur,0,0,0,0,0,30-03-20
Kabupaten Cirebon,2,0,0,0,0,30-03-20
Kabupaten Garut,0,0,0,0,0,30-03-20
Kabupaten Indramayu,0,0,0,0,0,30-03-20
Kabupaten Karawang,6,0,0,0,0,30-03-20
Kabupaten Kuningan,2,0,1,0,0,30-03-20
Kabupaten Majalengka,1,0,0,0,0,30-03-20
Kabupaten Pangandaran,0,0,0,0,0,30-03-20
Kabupaten Purwakarta,2,1,0,0,0,30-03-20
Kabupaten Subang,0,0,0,0,0,30-03-20
Kabupaten Sukabumi,1,0,0,0,0,30-03-20
Kabupaten Sumedang,1,0,0,0,0,30-03-20
Kabupaten Tasikmalaya,0,0,0,0,0,30-03-20
Kota Bandung,18,4,6,0,0,30-03-20
Kota Banjar,0,0,0,0,0,30-03-20
Kota Bekasi,25,0,0,0,0,30-03-20
Kota Bogor,3,0,2,0,0,30-03-20
Kota Cimahi,5,0,2,0,0,30-03-20
Kota Cirebon,0,0,0,0,0,30-03-20
Kota Depok,20,3,1,0,0,30-03-20
Kota Sukabumi,0,0,0,0,0,30-03-20
Kota Tasikmalaya,1,0,0,0,0,30-03-20
