Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Depok,1,0,0,0,0,26-03-2020
Bogor,2,0,0,0,0,26-03-2020
Bekasi,6,0,0,0,0,26-03-2020
Karawang,0,0,0,0,0,26-03-2020
Sukabumi,1,0,0,0,0,26-03-2020
Cianjur,0,0,0,0,0,26-03-2020
Purwakarta,1,0,0,0,0,26-03-2020
Subang,0,0,0,0,0,26-03-2020
Indramayu,0,0,0,0,0,26-03-2020
Sumedang,0,0,0,0,0,26-03-2020
Majalengka,0,0,0,0,0,26-03-2020
Cirebon,1,0,0,0,0,26-03-2020
Kuningan,1,0,0,0,0,26-03-2020
Ciamis,0,0,0,0,0,26-03-2020
Pangandaran,0,0,0,0,0,26-03-2020
Tasikmalaya,1,0,0,0,0,26-03-2020
Garut,0,0,0,0,0,26-03-2020
Bandung,4,0,0,0,0,26-03-2020
Bandung Barat,1,0,0,0,0,26-03-2020
Cimahi,1,0,0,0,0,26-03-2020
