Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp
Brebes,0,0,0,51,7
Cilacap,1,0,0,49,8
Kota Tegal,1,0,0,17,14
Kabupaten Tegal,0,0,0,104,7
Banyumas,4,0,0,154,4
Pemalang,0,0,0,14,2
Purbalingga,3,0,0,77,9
Kota Pekalongan,1,0,0,31,1
Kabupaten Pekalongan,0,0,0,14,4
Banjarnegara,0,0,0,28,1
Kebumen,0,0,0,152,8
Batang,0,0,0,12,3
Wonosobo,1,0,0,218,2
Purworejo,0,0,0,136,11
Kendal,0,0,0,63,5
Temanggung,0,0,0,414,9
Kota Megelang,3,0,0,47,17
Kabupaten Magelang,0,0,0,88,2
Kota Semarang,16,0,1,700,78
Kabupaten Semarang,0,0,0,8,2
Kota Salatiga,0,0,0,72,4
Klaten,0,0,0,52,3
Boyolali,0,0,0,13,0
Wonogiri,1,0,0,27,7
Sukoharjo,0,0,0,47,5
Karanganyar,0,0,0,32,2
Surakarta,7,0,3,69,22
Sragen,0,0,0,7,2
Grobogan,0,0,0,10,1
Demak,0,0,0,6,3
Jepara,0,0,0,19,0
Kudus,0,0,0,48,7
Pati,0,0,0,19,3
Rembang,0,0,0,26,2
Blora,0,0,0,32,3
