Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Kabupaten Bandung,5,0,2,0,0,29-03-20
Kabupaten Bandung Barat,4,0,2,0,0,29-03-20
Kabupaten Bekasi,12,0,3,0,0,29-03-20
Kabupaten Bogor,6,0,0,0,0,29-03-20
Kabupaten Ciamis,0,0,0,0,0,29-03-20
Kabupaten Cianjur,0,0,0,0,0,29-03-20
Kabupaten Cirebon,1,0,0,0,0,29-03-20
Kabupaten Garut,0,0,0,0,0,29-03-20
Kabupaten Indramayu,0,0,0,0,0,29-03-20
Kabupaten Karawang,0,0,0,0,0,29-03-20
Kabupaten Kuningan,2,0,1,0,0,29-03-20
Kabupaten Majalengka,1,0,0,0,0,29-03-20
Kabupaten Pangandaran,0,0,0,0,0,29-03-20
Kabupaten Purwakarta,2,1,0,0,0,29-03-20
Kabupaten Subang,0,0,0,0,0,29-03-20
Kabupaten Sukabumi,1,0,0,0,0,29-03-20
Kabupaten Sumedang,1,0,0,0,0,29-03-20
Kabupaten Tasikmalaya,0,0,0,0,0,29-03-20
Kota Bandung,17,2,5,0,0,29-03-20
Kota Banjar,0,0,0,0,0,29-03-20
Kota Bekasi,20,0,0,0,0,29-03-20
Kota Bogor,8,0,2,0,0,29-03-20
Kota Cimahi,7,0,1,0,0,29-03-20
Kota Cirebon,0,0,0,0,0,29-03-20
Kota Depok,19,3,1,0,0,29-03-20
Kota Sukabumi,0,0,0,0,0,29-03-20
Kota Tasikmalaya,1,0,0,0,0,29-03-20
