Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Brebes,0,0,0,51,7,26-03-2020
Cilacap,1,0,0,49,8,26-03-2020
Kota Tegal,1,0,0,17,14,26-03-2020
Kabupaten Tegal,0,0,0,104,7,26-03-2020
Banyumas,4,0,0,154,4,26-03-2020
Pemalang,0,0,0,14,2,26-03-2020
Purbalingga,3,0,0,77,9,26-03-2020
Kota Pekalongan,1,0,0,31,1,26-03-2020
Kabupaten Pekalongan,0,0,0,14,4,26-03-2020
Banjarnegara,0,0,0,28,1,26-03-2020
Kebumen,0,0,0,152,8,26-03-2020
Batang,0,0,0,12,3,26-03-2020
Wonosobo,1,0,0,218,2,26-03-2020
Purworejo,0,0,0,136,11,26-03-2020
Kendal,0,0,0,63,5,26-03-2020
Temanggung,0,0,0,414,9,26-03-2020
Kota Megelang,3,0,0,47,17,26-03-2020
Kabupaten Magelang,0,0,0,88,2,26-03-2020
Kota Semarang,16,0,1,700,78,26-03-2020
Kabupaten Semarang,0,0,0,8,2,26-03-2020
Kota Salatiga,0,0,0,72,4,26-03-2020
Klaten,0,0,0,52,3,26-03-2020
Boyolali,0,0,0,13,0,26-03-2020
Wonogiri,1,0,0,27,7,26-03-2020
Sukoharjo,0,0,0,47,5,26-03-2020
Karanganyar,0,0,0,32,2,26-03-2020
Surakarta,7,0,3,69,22,26-03-2020
Sragen,0,0,0,7,2,26-03-2020
Grobogan,0,0,0,10,1,26-03-2020
Demak,0,0,0,6,3,26-03-2020
Jepara,0,0,0,19,0,26-03-2020
Kudus,0,0,0,48,7,26-03-2020
Pati,0,0,0,19,3,26-03-2020
Rembang,0,0,0,26,2,26-03-2020
Blora,0,0,0,32,3,26-03-2020
