Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Kabupaten Blitar,1,0,0,155,2,27-03-2020
Kabupaten Tulungagung,0,0,0,300,24,27-03-2020
Kabupaten Trenggalek,0,0,0,140,2,27-03-2020
Kabupaten Bojonegoro,0,0,0,45,0,27-03-2020
Kabupaten Situbondo,0,0,0,114,3,27-03-2020
Kota Batu,0,0,0,58,0,27-03-2020
Kota Surabaya,33,0,0,189,16,27-03-2020
Kota Blitar,0,0,0,70,2,27-03-2020
Kota Probolinggo,0,0,0,36,1,27-03-2020
Kabupaten Nganjuk,0,0,0,14,3,27-03-2020
Kota Kediri,0,0,0,5,0,27-03-2020
Kabupaten Lumajang,0,0,0,59,5,27-03-2020
Kabupaten Banyuwangi,0,0,0,111,1,27-03-2020
Kabupaten Jember,0,0,0,119,9,27-03-2020
Kota Malang,2,0,0,137,11,27-03-2020
Kabupaten Ponorogo,0,0,0,100,7,27-03-2020
Kabupaten Pacitan,0,0,0,131,1,27-03-2020
Kabupaten Pamekasan,0,0,0,78,1,27-03-2020
Kabupaten Madiun,0,0,0,41,3,27-03-2020
Kota Pasuruan,0,0,0,18,0,27-03-2020
Kota Mojokerto,0,0,0,99,3,27-03-2020
Kabupaten Bondowoso,0,0,0,178,0,27-03-2020
Kabupaten Sumenep,0,0,0,22,0,27-03-2020
Kabupaten Ngawi,0,0,0,60,5,27-03-2020
Kabupaten Pasuruan,0,0,0,6,5,27-03-2020
Kabupaten Gresik,1,0,0,57,19,27-03-2020
Kabupaten Jombang,0,0,0,58,3,27-03-2020
Kabupaten Sampang,0,0,0,50,0,27-03-2020
Kabupaten Kediri,2,0,0,62,4,27-03-2020
Kabupaten Sidoarjo,8,0,0,33,41,27-03-2020
Kabupaten Tuban,0,0,0,90,1,27-03-2020
Kabupaten Mojokerto,0,0,0,102,9,27-03-2020
Kota Madiun,0,0,0,5,6,27-03-2020
Kabupaten Malang,4,0,0,40,15,27-03-2020
Kabupaten Magetan,8,0,0,34,9,27-03-2020
Kabupaten Bangkalan,0,0,0,94,1,27-03-2020
Kabupaten Probolinggo,0,0,0,70,3,27-03-2020
Kabupaten Lamongan,0,0,0,76,6,27-03-2020
