Kabupaten/Kota,Positif,Sembuh,Meninggal,Odp,Pdp,Terakhir Update
Kota Makasar,35,0,0,65,51,30-03-20
Kabupaten Luwu,0,0,0,34,1,30-03-20
Kabupaten Bulukumba,1,0,0,40,2,30-03-20
Kabupaten Luwu Timur,0,0,0,38,4,30-03-20
Kabupaten Sinjai,0,0,0,30,1,30-03-20
Kabupaten Sidenreng Rappang,2,0,0,26,5,30-03-20
Kabupaten Wajo,0,0,0,23,0,30-03-20
Kabupaten Jeneponto,0,0,0,19,4,30-03-20
Kabupaten Gowa,6,0,0,7,8,30-03-20
Kota Palopo,0,0,0,17,0,30-03-20
Kabupaten Maros,3,0,0,10,5,30-03-20
Kabupaten Toraja Utara,0,0,0,12,0,30-03-20
Kabupaten Pinrang,1,0,0,11,0,30-03-20
Kabupaten Enrekang,0,0,0,10,0,30-03-20
Kabupaten Pangkajene Dan Kepulauan,0,0,0,7,2,30-03-20
Kota Parepare,0,0,0,5,1,30-03-20
Kabupaten Takalar,0,0,0,6,1,30-03-20
Kabupaten Luwu Utara,0,0,0,4,3,30-03-20
Kabupaten Bantaeng,0,0,0,60,1,30-03-20
Kabupaten Bone,0,0,0,0,2,30-03-20
Kabupaten Kepulauan Selayar,0,0,0,19,0,30-03-20
Kabupaten Barru,0,0,0,51,1,30-03-20
Kabupaten Tana Toraja,0,0,0,1,0,30-03-20
Kabupaten Soppeng,0,0,0,1,0,30-03-20
